Age,Relationship Categories,relationship_other,Care giving experience,sole caregiver or not,hours spent for care_weekly,hours works at job,living situation,living situation_other,fund_ All the care they receive is free or donated,fund_family contributions,"fund_pension, savings, or retirement fund","fund_medicare, medicaid, SSDI, or VA benefits",fund_medical insurance,fund_long-term care insurance,fund_other,received_federal state local fund,"
lacking any support",training_support,access_support,group_support,counselling_support,respite care_support,loved one physician_support,financial_support,employer accommodation_support,support_other,unmet caregiver need_ none,unmet caregiver need_ employer accommodation,unmet caregiver need_training,unmet caregiver need_access,unmet caregiver need_groups,unmet caregiver need_counseling,unmet caregiver need_respite care,unmet caregiver need_loved one physician,unmet caregiver need_financial,unmet caregiver need_other,unmet caregiver need_none of the above,difficulties_obligation,difficulties_physical demands,difficulties_emotional stress,difficulties_life balance,difficulties_boundaries of commit to caregiving,Financial strain,difficulties_loss of sleep,difficulties_help needed not requested,difficulties_depression,difficulties_other,experience anxiety or depression,struggling with restful sleep,"
fluctuating appetite patterns","
difficulty connecting socially","
lost joy in activities",constantly feeling overwhelmed,mental state self description,feel trapped,losing temper,health issues hinder care,constant worry when away,fear of not doing enough,work_hours,Occupations,Name,Bio,Behavior 1,Behavior 2,Behavior 3,Behavior 4,Behavior 5,Core Needs 1,Core Needs 2,Core Needs 3,Core Needs 4,Core Needs 5
80 - 89,Parent,,3 - 5 years,Yes,25,50,"They live with me, or another caregiver",,,Family contributions,,,Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,difficulties_financial strain,Loss of sleep,I need more help but donÈà•Ê™õ want to ask,Depression,,Agree,Neutral,Strongly disagree,Neutral,Disagree,Strongly agree,Average,Neutral,Disagree,Disagree,Strongly agree,Strongly agree,50,Full-time employed,Agatha,"Agatha is a retired caregiver in her sixties, living in the state. She spent 1 - 2 years caring for a loved one. As a parent, balancing her own needs with the responsibilities of providing constant support is vital. Financial concerns and emotional strain have been a significant part of her experience, but her deep commitment to ensuring her loved one’s well-being kept her going.",Spends an average of 5 hours per week on caregiving duties.,Relies on family contributions and government aid where available.,Feels emotionally and physically exhausted but continues out of duty and love.,Looks for guidance on handling caregiver burnout and emotional stress.,Participates in local caregiver support groups or online communities when possible.,Needs financial and emotional support to ease the burden of caregiving.,Wants access to respite care and community programs for additional assistance.,Seeks reliable information on financial aid and healthcare services.,Values the ability to balance caregiving with personal well-being and self-care.,Worries about not doing enough and seeks reassurance in her caregiving efforts.
60 - 69,Parent,,3 - 5 years,Yes,80,20,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,Support groups,,,,,,,,,,Help in getting access to services,,,,,Financial support,,,I feel obligated to help because no one else will,,,Balancing caregiving with the rest of my responsibilities or desires,,Financial strain,,I need more help but donÈà•Ê™õ want to ask,,"It makes me sad I am the only one of 7 kids to want to care for our father, so I often feel heartbroken for my father for this reason. I love taking care of him, though!",Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Below average,Strongly disagree,Strongly disagree,Disagree,Strongly agree,Agree,20,Part-time employed,,,,,,,,,,,,
60 - 69,Other family member,,1 - 2 years,No,20,40,"In a home or apartment, with family or a roommate",,,Family contributions,,,Medical insurance,,,No,,,,,,,,,Accommodation from my employer,,None of the above,,,,,,,,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,,,,Depression,,Agree,Agree,Disagree,Disagree,Neutral,Agree,Average,Disagree,Disagree,Neutral,Agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,3 - 5 years,Yes,35,40,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,Respite care (short-term or long-term breaks for people who provide care),,,,,I feel obligated to help because no one else will,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,I need more help but donÈà•Ê™õ want to ask,,,Disagree,Agree,Disagree,Disagree,Disagree,Agree,Average,Disagree,Disagree,Disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Other family member,,1 - 2 years,No,4,12,"They live with me, or another caregiver",,,,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,"Classes about giving care, such as giving medications",,,Individual counseling to help cope with giving care,,,Financial support,,,,,Emotional stress,,,Financial strain,,,,,Agree,Agree,Agree,Agree,Neutral,Agree,Average,Neutral,Disagree,Disagree,Neutral,Agree,12,Part-time employed,,,,,,,,,,,,
70 - 79,Other family member,,3 - 5 years,Yes,10,40,"They live with me, or another caregiver",,,,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,Support from my loved oneÈà•Ê™ö physicians,,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Agree,Agree,Disagree,Agree,Agree,Agree,Below average,Agree,Agree,Disagree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
60 - 69,Other family member,,Over 5 years,No,20,42,"They live with me, or another caregiver",,,Family contributions,,"Medicare, Medicaid, SSDI, or VA benefits",,,,No,I do not currently receive any of these types of support,,,,,,,,,,,Accommodation from my employer,,,,,Respite care (short-term or long-term breaks for people who provide care),,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Agree,Strongly agree,Agree,Disagree,Neutral,Strongly agree,Below average,Disagree,Disagree,Agree,Agree,Neutral,42,Full-time employed,,,,,,,,,,,,
80 - 89,Other family member,,1 - 2 years,No,16,40,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",,,,No,,,,,,,Support from my loved oneÈà•Ê™ö physicians,,,,,Accommodation from my employer,,,,Individual counseling to help cope with giving care,,,,,,,,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,,,,,,,Agree,Disagree,Strongly disagree,Disagree,Neutral,Strongly agree,Below average,Disagree,Neutral,Disagree,Neutral,Strongly agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,25,40,"In a home or apartment, with family or a roommate",,,Family contributions,,,,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,Help in getting access to services,,Individual counseling to help cope with giving care,,,Financial support,,,,Physical demands,Emotional stress,,Setting boundaries with how much time I commit to caregiving,,,I need more help but donÈà•Ê™õ want to ask,,,Disagree,Agree,Neutral,Agree,Neutral,Agree,Good,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,40,Full-time employed,,,,,,,,,,,,
70 - 79,Parent,,1 - 2 years,No,15,40,"In a home or apartment, with family or a roommate",,,Family contributions,"Pension, savings, or retirement fund","Medicare, Medicaid, SSDI, or VA benefits",Medical insurance,,,No,I do not currently receive any of these types of support,,,,,,,,,,,,,,,,,,Financial support,,,,Physical demands,Emotional stress,Balancing caregiving with the rest of my responsibilities or desires,Setting boundaries with how much time I commit to caregiving,Financial strain,Loss of sleep,,Depression,,Agree,Agree,Neutral,Disagree,Neutral,Strongly agree,Average,Neutral,Disagree,Neutral,Strongly agree,Strongly agree,40,Full-time employed,,,,,,,,,,,,
